Publication Id,Publication Name,Publication/Child Child ID,Issue Text - Original ,Publication Author,Publication Type ID,Publication Type,Publication/Child Rel ID,Review Date,Review Outcome ID,Review Outcome,Review Pages,Review ID,Reject Reason Code,Reject Reason
21895,High School DxD #2,39,# 2,Hiroji Mishima,31,Book,45908,1/4/2022,2,Rejected All,,46346,42,containing pictorially explicit nudity
101,Outlaw Biker,7336,# 209,,32,Magazine/Newspaper,38186,3/3/2015,2,Rejected All,,38427,11,containing sexually explicit material
1186,Smooth Girl,43,# 22,,32,Magazine/Newspaper,5378,8/7/2012,2,Rejected All,,16705,11,containing sexually explicit material
4482,Dime Piece Magazine,85,# 7,,32,Magazine/Newspaper,11808,9/18/2012,2,Rejected All,,18103,11,containing sexually explicit material
17985,Idolhouse,107,#1,Takayoshi Sano,31,Book,40079,5/7/2019,2,Rejected All,,40375,42,containing pictorially explicit nudity
19887,Son of a Guna,107,#1,Robert George III,31,Book,43220,11/17/2020,2,Rejected All,,43608,47,containing descriptions of security risk group material or activity
1186,Smooth Girl,109,#10,,32,Magazine/Newspaper,5382,7/16/2013,2,Rejected All,,22043,11,containing sexually explicit material
17103,Berserk,174,#11,Kentaro Miura,31,Book,38912,3/3/2015,2,Rejected All,,39181,11,containing sexually explicit material
17103,Berserk,212,#12,Kentaro Miura,31,Book,38913,3/3/2015,2,Rejected All,,39182,11,containing sexually explicit material
2526,Tattoo Life,8512,#120,,32,Magazine/Newspaper,41516,4/7/2020,2,Rejected All,,41870,39,being detrimental to security for the following reason:
17103,Berserk,220,#13,Kentaro Miura,31,Book,38914,3/3/2015,2,Rejected All,,39183,11,containing sexually explicit material
16730,Wild 18+,249,#16,,32,Magazine/Newspaper,37417,6/20/2017,2,Rejected All,,37631,11,containing sexually explicit material
2530,As Is,262,#17,,32,Magazine/Newspaper,8736,7/3/2012,2,Rejected All,,16386,11,containing sexually explicit material
3032,Black Lingerie,274,#18,,32,Magazine/Newspaper,9615,7/16/2013,2,Rejected All,,22065,11,containing sexually explicit material
2530,As Is,291,#19,,32,Magazine/Newspaper,8737,12/18/2012,2,Rejected All,,19017,11,containing sexually explicit material
9201,ASIS Magazine,291,#19,,32,Magazine/Newspaper,17945,3/5/2013,2,Rejected All,,20236,11,containing sexually explicit material
20060,SuperHeros After Dark 2: Nightfall,300,#2,Shade,31,Book,43425,12/15/2020,2,Rejected All,,43814,41,containing pictorially explicit sexual activity
19301,Boxing Workouts,300,#2,,32,Magazine/Newspaper,42441,9/1/2020,2,Rejected All,,42811,40,describing fighting techniques
16562,Foxtail,305,#20,,32,Magazine/Newspaper,41393,2/18/2020,2,Rejected All,,41742,42,containing pictorially explicit nudity
4194,Show Magazine,326,#22,,32,Magazine/Newspaper,11233,8/7/2012,2,Rejected All,,16703,11,containing sexually explicit material
7260,Urban Ink: Blackmen,351,#24,,32,Magazine/Newspaper,15309,5/3/2016,2,Rejected All,,35637,11,containing sexually explicit material
16562,Foxtail,351,#24,,32,Magazine/Newspaper,37109,4/18/2017,2,Rejected All,,37308,11,containing sexually explicit material
2744,Urban Ink,364,#25,,32,Magazine/Newspaper,9000,7/3/2012,2,Rejected All,,16391,11,containing sexually explicit material
5,The Source,372,#253,,32,Magazine/Newspaper,334,10/16/2012,2,Rejected All,,18544,10,encouraging or instructing on the commision of criminal activity
5,The Source,373,#254,,32,Magazine/Newspaper,335,9/18/2012,2,Rejected All,,18274,10,encouraging or instructing on the commision of criminal activity
22616,Start Healthy ,382,#26,Felicia Williams ,32,Magazine/Newspaper,46626,10/18/2022,2,Rejected All,,47077,37,not being included in the original store packaging
848,Heavy Metal,385,#261,,32,Magazine/Newspaper,3900,3/5/2013,2,Rejected All,,20206,11,containing sexually explicit material
848,Heavy Metal,385,#261,,32,Magazine/Newspaper,3900,4/2/2013,2,Rejected All,,20763,11,containing sexually explicit material
848,Heavy Metal,389,#264,,32,Magazine/Newspaper,3903,9/3/2013,2,Rejected All,,22766,11,containing sexually explicit material
1186,Smooth Girl,392,#27,,32,Magazine/Newspaper,5397,8/7/2012,2,Rejected All,,16704,11,containing sexually explicit material
2744,Urban Ink,392,#27,,32,Magazine/Newspaper,9001,8/21/2012,2,Rejected All,,16851,10,encouraging or instructing on the commision of criminal activity
18871,High Society,8596,#280,,32,Magazine/Newspaper,41732,5/5/2020,2,Rejected All,,42090,41,containing pictorially explicit sexual activity
9354,BGM,408,#30,,32,Magazine/Newspaper,18133,4/2/2013,2,Rejected All,,20727,9,describing or encouraging physical violence or group disruption
2744,Urban Ink,408,#30,,32,Magazine/Newspaper,37508,7/18/2017,2,Rejected All,,37731,12,safety and security reasons
382,Cheeks,10005,#301,,32,Magazine/Newspaper,45067,6/15/2021,2,Rejected All,,45480,41,containing pictorially explicit sexual activity
9354,BGM,412,#31,,32,Magazine/Newspaper,18134,4/2/2013,2,Rejected All,,20728,9,describing or encouraging physical violence or group disruption
4758,MMA Sports,420,#36,,32,Magazine/Newspaper,12132,12/18/2012,2,Rejected All,,19402,9,describing or encouraging physical violence or group disruption
17495,Nurse Hitomi&#39;s Monster Infirmary,431,#4,Shake O,31,Book,39496,10/16/2018,2,Rejected All,,39786,41,containing pictorially explicit sexual activity
21896,High School DxD #4,431,#4,Hiroji Mishima,31,Book,45909,1/4/2022,2,Rejected All,,46347,42,containing pictorially explicit nudity
2530,As Is,431,#4,,32,Magazine/Newspaper,8739,12/18/2012,2,Rejected All,,19018,11,containing sexually explicit material
22856,Coke Kings 4,10789,#4 Dope Game Royalty ,T.J. Edwards ,31,Book,46866,2/7/2023,2,Rejected All,,47320,46,containing written sexually explicit material involving the use of force or non-consent
22970,Coke King 4,10789,#4 Dope Game Royalty ,T.J. Edwards,31,Book,46979,3/7/2023,2,Rejected All,,47436,46,containing written sexually explicit material involving the use of force or non-consent
2399,Straight Stuntin,447,#44,,32,Magazine/Newspaper,36629,12/20/2016,2,Rejected All,,36790,11,containing sexually explicit material
